date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:00:10	29827/29827	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2008:00:10%20GMT	https://www.cuspoffer.com/Course/CourseDetail?id=12	C:/My%20Web%20Sites/groupwork/www.cuspoffer.com/Course/CourseDetail4ef9.html	(from https://www.cuspoffer.com/)
10:00:11	362091/362091	---M--	200	added ('OK')	image/png	etag:%22f65891908259d41:0%22	https://img.cuspoffer.com//Images/EducationalVideo/201810/10a6f8b9-a36e-4470-b8bb-6be6fa861a6c.png	C:/My%20Web%20Sites/groupwork/img.cuspoffer.com/Images/EducationalVideo/201810/10a6f8b9-a36e-4470-b8bb-6be6fa861a6c.png	(from https://www.cuspoffer.com/)
10:00:11	21226/21226	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2008:00:10%20GMT	https://www.cuspoffer.com/Course/CourseDetail?id=8	C:/My%20Web%20Sites/groupwork/www.cuspoffer.com/Course/CourseDetailc3c9.html	(from https://www.cuspoffer.com/)
10:00:12	146699/146699	---M--	200	added ('OK')	image/png	etag:%225be2e0b8a1ded41:0%22	https://img.cuspoffer.com//Images/EducationalVideo/201903/f1244a21-63fb-467f-8279-6e686e6474cb.png	C:/My%20Web%20Sites/groupwork/img.cuspoffer.com/Images/EducationalVideo/201903/f1244a21-63fb-467f-8279-6e686e6474cb.png	(from https://www.cuspoffer.com/)
10:00:12	17145/17145	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2008:00:12%20GMT	https://www.cuspoffer.com/Course/CourseList	C:/My%20Web%20Sites/groupwork/www.cuspoffer.com/Course/CourseList.html	(from https://www.cuspoffer.com/)
10:00:13	279796/279796	---M--	200	added ('OK')	image/png	etag:%229f7a2a33613cd41:0%22	https://img.cuspoffer.com//Images/EducationalVideo/201808/575f5b01-229b-41f3-aecf-3900472bc396.png	C:/My%20Web%20Sites/groupwork/img.cuspoffer.com/Images/EducationalVideo/201808/575f5b01-229b-41f3-aecf-3900472bc396.png	(from https://www.cuspoffer.com/)
10:00:14	270304/270304	---M--	200	added ('OK')	image/jpeg	etag:%2249bbf53883ccd61:0%22	https://img.cuspoffer.com//Images/SuccessCase/202012/aa9372fc-504f-4bba-bd5f-7c4ba1b8611c.jpg	C:/My%20Web%20Sites/groupwork/img.cuspoffer.com/Images/SuccessCase/202012/aa9372fc-504f-4bba-bd5f-7c4ba1b8611c.jpg	(from https://www.cuspoffer.com/)
10:00:18	133067/133067	---M--	200	added ('OK')	image/jpeg	etag:%22cfe6de1341fd61:0%22	https://img.cuspoffer.com//Images/SuccessCase/202005/0a4f5540-3dbb-4a5a-bb27-fed39397c6e4.jpg	C:/My%20Web%20Sites/groupwork/img.cuspoffer.com/Images/SuccessCase/202005/0a4f5540-3dbb-4a5a-bb27-fed39397c6e4.jpg	(from https://www.cuspoffer.com/)
10:00:22	289280/289280	---M--	200	added ('OK')	image/jpeg	etag:%223357983f351fd61:0%22	https://img.cuspoffer.com//Images/SuccessCase/202005/43818443-0716-401a-b0ee-c4bb96723f47.jpg	C:/My%20Web%20Sites/groupwork/img.cuspoffer.com/Images/SuccessCase/202005/43818443-0716-401a-b0ee-c4bb96723f47.jpg	(from https://www.cuspoffer.com/)
10:00:24	247603/247603	---M--	200	added ('OK')	image/jpeg	etag:%22de4958cdc4c9d31:0%22	https://img.cuspoffer.com//Images/SuccessCase/201804/e143caf8-eb98-41ab-ba2e-d36ea5d359b6.jpg	C:/My%20Web%20Sites/groupwork/img.cuspoffer.com/Images/SuccessCase/201804/e143caf8-eb98-41ab-ba2e-d36ea5d359b6.jpg	(from https://www.cuspoffer.com/)
10:00:34	86737/86737	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jun%202022%2008:00:33%20GMT	https://www.cuspoffer.com/ArticleInfo/ArticleInfoDetail?id=31	C:/My%20Web%20Sites/groupwork/www.cuspoffer.com/ArticleInfo/ArticleInfoDetail6fb5.html	(from https://www.cuspoffer.com/)
